22-05-2024 18:02:43.157 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - Starting BookReviewApplication using Java 22.0.1 with PID 36559 (/home/nikhil/IIITB/SEM2/SPE/Major project/GIT/SPE-Major-Project/SpringBackend/target/classes started by nikhil in /home/nikhil/IIITB/SEM2/SPE/Major project/GIT/SPE-Major-Project/SpringBackend)
22-05-2024 18:02:43.159 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - No active profile set, falling back to 1 default profile: "default"
22-05-2024 18:02:43.470 [restartedMain] INFO  -o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22-05-2024 18:02:43.503 [restartedMain] INFO  -o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 3 JPA repository interfaces.
22-05-2024 18:02:43.745 [restartedMain] INFO  -o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
22-05-2024 18:02:43.746 [restartedMain] INFO  -o.a.catalina.core.StandardService - Starting service [Tomcat]
22-05-2024 18:02:43.746 [restartedMain] INFO  -o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
22-05-2024 18:02:43.765 [restartedMain] INFO  -o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22-05-2024 18:02:43.870 [restartedMain] INFO  -o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22-05-2024 18:02:43.900 [restartedMain] INFO  -org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
22-05-2024 18:02:43.934 [restartedMain] INFO  -o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
22-05-2024 18:02:44.067 [restartedMain] INFO  -o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22-05-2024 18:02:44.080 [restartedMain] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22-05-2024 18:02:44.337 [restartedMain] INFO  -com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2f9efd5c
22-05-2024 18:02:44.338 [restartedMain] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22-05-2024 18:02:44.359 [restartedMain] WARN  -org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
22-05-2024 18:02:44.360 [restartedMain] WARN  -org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
22-05-2024 18:02:44.796 [restartedMain] INFO  -o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22-05-2024 18:02:44.832 [restartedMain] INFO  -o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22-05-2024 18:02:44.971 [restartedMain] INFO  -o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22-05-2024 18:02:45.390 [restartedMain] INFO  -o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
22-05-2024 18:02:45.401 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - Started BookReviewApplication in 2.39 seconds (process running for 2.888)
22-05-2024 18:03:03.818 [Thread-5] INFO  -o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-9090"]
22-05-2024 18:03:03.821 [Thread-5] INFO  -o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22-05-2024 18:03:03.823 [Thread-5] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22-05-2024 18:03:03.826 [Thread-5] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22-05-2024 18:03:03.894 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - Starting BookReviewApplication using Java 22.0.1 with PID 36559 (/home/nikhil/IIITB/SEM2/SPE/Major project/GIT/SPE-Major-Project/SpringBackend/target/classes started by nikhil in /home/nikhil/IIITB/SEM2/SPE/Major project/GIT/SPE-Major-Project/SpringBackend)
22-05-2024 18:03:03.894 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - No active profile set, falling back to 1 default profile: "default"
22-05-2024 18:03:03.971 [restartedMain] INFO  -o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
